id_lysi,date,NO3_N,NH4_N,SO4_S
31,2025-11-18,0.01,0,2.47
32,2025-11-18,0.01,0,1.74
1,2025-11-19,0,0.02,0.55
2,2025-11-19,0,0.16,0.06
3,2025-11-19,7.09,3.15,0.99
4,2025-11-19,0.09,0.03,0.11
5,2025-11-19,NA,NA,NA
6,2025-11-19,0.01,0.75,0
7,2025-11-19,0.41,0.83,1.02
8,2025-11-19,NA,NA,NA
9,2025-11-19,0,0.06,0.31
10,2025-11-19,0,0.05,0.06
11,2025-11-19,0.69,0.04,1.18
12,2025-11-19,0,0.01,0.12
13,2025-11-19,0.14,0,2.08
14,2025-11-19,1.17,0.66,0.34
15,2025-11-19,0.31,0.31,0.59
16,2025-11-19,1.05,0.11,0.29
17,2025-11-19,0.85,0.09,2.24
18,2025-11-19,0.04,0.72,0.11
19,2025-11-19,NA,NA,NA
20,2025-11-19,0,0.3,0
21,2025-11-19,0.6,0.36,0.6
22,2025-11-19,0,0.19,1.43
23,2025-11-19,0,0.2,0.45
24,2025-11-19,NA,NA,NA
25,2025-11-19,0.57,0.03,1.13
26,2025-11-19,0,0.01,0.63
27,2025-11-19,0.53,0.05,0.86
28,2025-11-19,0.19,0.11,0.59
